0.288, 0.093, 0.069, 1.099, 0.063, 0.068, 7.029, 0.469
0.296, 0.094, 0.069, 1.085, 0.062, 0.066, 7.102, 0.463
0.284, 0.094, 0.069, 1.063, 0.061, 0.066, 6.403, 0.460
0.288, 0.094, 0.068, 1.109, 0.062, 0.066, 7.301, 0.472
0.289, 0.094, 0.069, 1.106, 0.062, 0.064, 7.105, 0.473
0.290, 0.092, 0.068, 1.094, 0.062, 0.066, 7.122, 0.462
0.288, 0.094, 0.069, 1.092, 0.062, 0.069, 7.124, 0.471
0.288, 0.094, 0.069, 1.134, 0.062, 0.064, 7.263, 0.463
0.289, 0.093, 0.068, 1.095, 0.062, 0.064, 7.106, 0.472
0.289, 0.094, 0.069, 1.087, 0.062, 0.069, 7.121, 0.457
0.289, 0.093, 0.069, 1.083, 0.062, 0.067, 7.127, 0.465
0.289, 0.094, 0.069, 1.083, 0.063, 0.066, 7.108, 0.463
0.290, 0.094, 0.069, 1.092, 0.062, 0.065, 7.084, 0.462
0.293, 0.094, 0.070, 1.100, 0.062, 0.067, 7.416, 0.463
0.284, 0.093, 0.067, 1.073, 0.061, 0.065, 6.413, 0.460
0.286, 0.092, 0.069, 1.090, 0.062, 0.067, 7.079, 0.465
0.286, 0.092, 0.068, 1.082, 0.061, 0.065, 7.043, 0.461
0.289, 0.094, 0.069, 1.079, 0.062, 0.066, 7.127, 0.459
0.287, 0.094, 0.068, 1.094, 0.062, 0.066, 7.081, 0.464
0.288, 0.094, 0.069, 1.150, 0.063, 0.068, 7.586, 0.468
0.286, 0.093, 0.068, 1.078, 0.061, 0.067, 7.098, 0.461
0.284, 0.092, 0.068, 1.100, 0.061, 0.066, 7.080, 0.467
0.286, 0.093, 0.069, 1.115, 0.061, 0.066, 7.089, 0.472
0.303, 0.093, 0.068, 1.084, 0.062, 0.066, 7.077, 0.460
0.285, 0.093, 0.069, 1.093, 0.061, 0.066, 7.078, 0.467
0.284, 0.092, 0.068, 1.081, 0.061, 0.063, 6.496, 0.463
0.992, 0.331, 0.218, 1.558, 0.221, 0.331, 25.271, 1.566
0.991, 0.330, 0.218, 1.549, 0.221, 0.336, 25.322, 1.554
0.987, 0.331, 0.218, 1.528, 0.221, 0.338, 23.178, 1.548
0.989, 0.331, 0.218, 1.559, 0.222, 0.334, 25.285, 1.562
0.993, 0.331, 0.219, 1.541, 0.222, 0.339, 25.324, 1.554
0.992, 0.331, 0.220, 1.547, 0.221, 0.334, 25.253, 1.558
0.995, 0.333, 0.219, 1.645, 0.223, 0.337, 28.111, 1.598
0.989, 0.331, 0.218, 1.515, 0.226, 0.337, 23.194, 1.543
0.992, 0.331, 0.218, 1.552, 0.222, 0.339, 25.291, 1.563
0.993, 0.332, 0.218, 1.566, 0.221, 0.334, 25.306, 1.572
0.995, 0.332, 0.219, 1.557, 0.222, 0.337, 25.334, 1.559
0.991, 0.332, 0.219, 1.568, 0.222, 0.339, 25.245, 1.553
0.993, 0.332, 0.217, 1.550, 0.222, 0.337, 25.294, 1.583
0.991, 0.333, 0.218, 1.552, 0.222, 0.333, 25.323, 1.562
0.994, 0.332, 0.219, 1.554, 0.222, 0.335, 25.237, 1.576
0.994, 0.332, 0.217, 1.549, 0.222, 0.339, 25.269, 1.573
0.991, 0.331, 0.219, 1.558, 0.222, 0.336, 25.338, 1.551
